"Term ID","Term Name","Term Slug",Description,Count,"Attribute Name","Attribute Slug","Attribute Type","Attribute Order by","Attribute Enable archives?"
608,Men,men,,233,Generation,generation,select,menu_order,1
609,White,white,,74,Color,color,select,menu_order,1
610,Others,others,,358,"Collar type",collar-type,select,menu_order,1
611,Others,others,,358,"Sleeves type",sleeves-type,select,menu_order,1
612,Others,others,,358,"Placket shape",placket-shape,select,menu_order,1
613,Others,others,,358,"Placket tpe",placket-tpe,select,menu_order,1
614,Others,others,,358,"Pocket shape",pocket-shape,select,menu_order,1
615,Ramadan,ramadan,,358,"Collection name",collection-name,select,menu_order,1
616,"Non Consignment",non-consignment,,359,Consignment,consignment,select,menu_order,1
617,Thobe,thobe,,359,"Item type",item-type,select,menu_order,1
618,2020,2020,,1,"Prime style",prime-style,select,menu_order,1
623,53L,53l,,77,Size,size,select,menu_order,1
624,55M,55m,,89,Size,size,select,menu_order,1
625,56M,56m,,84,Size,size,select,menu_order,1
626,60XL,60xl,,86,Size,size,select,menu_order,1
627,64XL,64xl,,69,Size,size,select,menu_order,1
628,64XXL,64xxl,,60,Size,size,select,menu_order,1
629,Youth,youth,,213,Generation,generation,select,menu_order,1
630,Assorted,assorted,,238,Color,color,select,menu_order,1
631,2106,2106,,2,"Prime style",prime-style,select,menu_order,1
632,2165,2165,,1,"Prime style",prime-style,select,menu_order,1
633,24M,24m,,71,Size,size,select,menu_order,1
634,Child,child,,99,Generation,generation,select,menu_order,1
635,Blue,blue,,5,Color,color,select,menu_order,1
636,2196,2196,,1,"Prime style",prime-style,select,menu_order,1
637,26M,26m,,65,Size,size,select,menu_order,1
638,28M,28m,,55,Size,size,select,menu_order,1
639,30M,30m,,53,Size,size,select,menu_order,1
640,Boys,boys,,140,Generation,generation,select,menu_order,1
641,2218,2218,,1,"Prime style",prime-style,select,menu_order,1
642,2219,2219,,1,"Prime style",prime-style,select,menu_order,1
643,2220,2220,,1,"Prime style",prime-style,select,menu_order,1
644,2263,2263,,1,"Prime style",prime-style,select,menu_order,1
645,35M,35m,,71,Size,size,select,menu_order,1
646,44L,44l,,44,Size,size,select,menu_order,1
647,45L,45l,,49,Size,size,select,menu_order,1
648,46L,46l,,50,Size,size,select,menu_order,1
649,47L,47l,,46,Size,size,select,menu_order,1
650,49M,49m,,112,Size,size,select,menu_order,1
651,49L,49l,,55,Size,size,select,menu_order,1
652,51M,51m,,97,Size,size,select,menu_order,1
653,51L,51l,,85,Size,size,select,menu_order,1
