ID,Parent SKU,SKU,Name,Description,Tax class,Stock,Sale price,Regular price,Categories EN,Images,Item type,Color,Prime style,Pocket shape,Placket shape,Placket Type,Sleeves type,Collar type,length,width,Generation
,,Classic-MY-White-1112,Thobe Alshiaka Classic Whtie For Men And Youth,Thobe Alshiaka Classic Whtie For Men And Youth,,,,,,,Thobe,,,,,,,,,,
,Classic-MY-White-1112,11120101411,Thobe - Classic - White - Youth - SS - 41S,Thobe - Classic - White - Youth - SS - 41S,15%,1,,95,Apperal > Thobe > Alshiaka > Classic,,Thobe,White,SS,Square Pocket,Square Placket,Unhidden Buttons,Plain Sleeves,China Collar,41,S,Youth
,Classic-MY-White-1112,11120101412,Thobe - Classic - White - Youth - SS - 41M,Thobe - Classic - White - Youth - SS - 41M,15%,1,,95,Thobe > Alshiaka > Classic,,Thobe,White,SS,Square Pocket,Square Placket,Unhidden Buttons,Plain Sleeves,China Collar,41,M,Youth
,Classic-MY-White-1112,11120101421,Thobe - Classic - White - Youth - SS - 42S,Thobe - Classic - White - Youth - SS - 42S,15%,1,,95,Thobe > Alshiaka > Classic,,Thobe,White,SS,Square Pocket,Square Placket,Unhidden Buttons,Plain Sleeves,China Collar,42,S,Youth
,Classic-MY-White-1112,11120101422,Thobe - Classic - White - Youth - SS - 42M,Thobe - Classic - White - Youth - SS - 42M,15%,1,,95,Thobe > Alshiaka > Classic,,Thobe,White,SS,Square Pocket,Square Placket,Unhidden Buttons,Plain Sleeves,China Collar,42,M,Youth
,Classic-MY-White-1112,11120101431,Thobe - Classic - White - Youth - SS - 43S,Thobe - Classic - White - Youth - SS - 43S,15%,1,,95,Thobe > Alshiaka > Classic,,Thobe,White,SS,Square Pocket,Square Placket,Unhidden Buttons,Plain Sleeves,China Collar,43,S,Youth
,Classic-MY-White-1112,11120101432,Thobe - Classic - White - Youth - SS - 43M,Thobe - Classic - White - Youth - SS - 43M,15%,1,,95,Thobe > Alshiaka > Classic,,Thobe,White,SS,Square Pocket,Square Placket,Unhidden Buttons,Plain Sleeves,China Collar,43,M,Youth
,Classic-MY-White-1112,11120101441,Thobe - Classic - White - Youth - SS - 44S,Thobe - Classic - White - Youth - SS - 44S,15%,1,,95,Thobe > Alshiaka > Classic,,Thobe,White,SS,Square Pocket,Square Placket,Unhidden Buttons,Plain Sleeves,China Collar,44,S,Youth
,Classic-MY-White-1112,11120101442,Thobe - Classic - White - Youth - SS - 44M,Thobe - Classic - White - Youth - SS - 44M,15%,1,,95,Thobe > Alshiaka > Classic,,Thobe,White,SS,Square Pocket,Square Placket,Unhidden Buttons,Plain Sleeves,China Collar,44,M,Youth
,Classic-MY-White-1112,11120101443,Thobe - Classic - White - Youth - SS - 44L,Thobe - Classic - White - Youth - SS - 44L,15%,1,,95,Thobe > Alshiaka > Classic,,Thobe,White,SS,Square Pocket,Square Placket,Unhidden Buttons,Plain Sleeves,China Collar,44,L,Youth
,Classic-MY-White-1112,11120101451,Thobe - Classic - White - Youth - SS - 45S,Thobe - Classic - White - Youth - SS - 45S,15%,1,,95,Thobe > Alshiaka > Classic,,Thobe,White,SS,Square Pocket,Square Placket,Unhidden Buttons,Plain Sleeves,China Collar,45,S,Youth
,Classic-MY-White-1112,11120101452,Thobe - Classic - White - Youth - SS - 45M,Thobe - Classic - White - Youth - SS - 45M,15%,1,,95,Thobe > Alshiaka > Classic,,Thobe,White,SS,Square Pocket,Square Placket,Unhidden Buttons,Plain Sleeves,China Collar,45,M,Youth
,Classic-MY-White-1112,11120101453,Thobe - Classic - White - Youth - SS - 45L,Thobe - Classic - White - Youth - SS - 45L,15%,1,,95,Thobe > Alshiaka > Classic,,Thobe,White,SS,Square Pocket,Square Placket,Unhidden Buttons,Plain Sleeves,China Collar,45,L,Youth
