ID,Parent SKU,SKU,Short description,Sale price,Regular price,Categories,color,Primary Style,Pocket Shape,Collocation Name,Consignment,Placket Shape,Placket Type,Sleeves Type,Collar Type,Size,Generation
,,SAQ80538893218S,ري ثواب ابيض للشباب و الاطفال,,,,,,,,,,,,,,
,SAQ80538893218S,8053889,ثوب - ري ثوب - ابيض - ولادي - 32M - 2218,140,140,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,32M,اطفال
,SAQ80538893218S,8053890,ثوب - ري ثوب - ابيض - ولادي - 32S - 2218,170,170,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,32S,اطفال
,SAQ80538893218S,8053891,ثوب - ري ثوب - ابيض - ولادي - 34M - 2218,170,170,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,34M,اطفال
,SAQ80538893218S,8053892,ثوب - ري ثوب - ابيض - ولادي - 34S - 2218,140,140,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,34S,اطفال
,SAQ80538893218S,8053893,ثوب - ري ثوب - ابيض - ولادي - 35S - 2218,170,170,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,35S,اطفال
,SAQ80538893218S,8053894,ثوب - ري ثوب - ابيض - ولادي - 36M - 2218,140,140,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,36M,اطفال
,SAQ80538893218S,8053895,ثوب - ري ثوب - ابيض - ولادي - 36S - 2218,170,170,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,36S,اطفال
,SAQ80538893218S,8053896,ثوب - ري ثوب - ابيض - ولادي - 37M - 2218,140,140,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,37M,اطفال
,SAQ80538893218S,8053897,ثوب - ري ثوب - ابيض - ولادي - 37S - 2218,140,140,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,37S,اطفال
,SAQ80538893218S,8053898,ثوب - ري ثوب - ابيض - ولادي - 38M - 2218,170,170,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,38M,اطفال
,SAQ80538893218S,8053899,ثوب - ري ثوب - ابيض - ولادي - 38S - 2218,170,170,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,38S,اطفال
,SAQ80538893218S,8053900,ثوب - ري ثوب - ابيض - ولادي - 39M - 2218,170,170,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,39M,اطفال
,SAQ80538893218S,8053901,ثوب - ري ثوب - ابيض - ولادي - 39S - 2218,140,140,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,39S,اطفال
,SAQ80538893218S,8053902,ثوب - ري ثوب - ابيض - ولادي - 40M - 2218,170,170,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,40M,اطفال
,SAQ80538893218S,8053903,ثوب - ري ثوب - ابيض - ولادي - 40S - 2218,170,170,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,40S,اطفال
,SAQ80538893218S,8053904,ثوب - ري ثوب - ابيض - شباب - 41M - 2218,195,195,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,41M,شباب
,SAQ80538893218S,8053905,ثوب - ري ثوب - ابيض - شباب - 41S - 2218,195,195,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,41S,شباب
