Parent,SKU,Selling Price,Arabic Description,Prime style,Department,Item type,Size,Generation,Color,Sleeves type,Collar type,Placket tpe,Pocket shape,Placket shape,Collection name,Consignment
,SAQ80538893218S,,ري ثواب ابيض للشباب و الاطفال,2218,الثياب > ري ثوب,ثوب,53S,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053889,140,ثوب - ري ثوب - ابيض - ولادي - 32M - 2218,2218,الثياب > ري ثوب,ثوب,53S,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053890,170,ثوب - ري ثوب - ابيض - ولادي - 32S - 2218,2218,الثياب > ري ثوب,ثوب,53M,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053891,170,ثوب - ري ثوب - ابيض - ولادي - 34M - 2218,2218,الثياب > ري ثوب,ثوب,53L,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053892,140,ثوب - ري ثوب - ابيض - ولادي - 34S - 2218,2218,الثياب > ري ثوب,ثوب,53XL,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053893,170,ثوب - ري ثوب - ابيض - ولادي - 35S - 2218,2218,الثياب > ري ثوب,ثوب,54S,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053894,140,ثوب - ري ثوب - ابيض - ولادي - 36M - 2218,2218,الثياب > ري ثوب,ثوب,54M,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053895,170,ثوب - ري ثوب - ابيض - ولادي - 36S - 2218,2218,الثياب > ري ثوب,ثوب,54L,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053896,140,ثوب - ري ثوب - ابيض - ولادي - 37M - 2218,2218,الثياب > ري ثوب,ثوب,54XL,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053897,140,ثوب - ري ثوب - ابيض - ولادي - 37S - 2218,2218,الثياب > ري ثوب,ثوب,55S,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053898,170,ثوب - ري ثوب - ابيض - ولادي - 38M - 2218,2218,الثياب > ري ثوب,ثوب,55M,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053899,170,ثوب - ري ثوب - ابيض - ولادي - 38S - 2218,2218,الثياب > ري ثوب,ثوب,55L,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053900,170,ثوب - ري ثوب - ابيض - ولادي - 39M - 2218,2218,الثياب > ري ثوب,ثوب,55XL,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053901,140,ثوب - ري ثوب - ابيض - ولادي - 39S - 2218,2218,الثياب > ري ثوب,ثوب,56S,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053902,170,ثوب - ري ثوب - ابيض - ولادي - 40M - 2218,2218,الثياب > ري ثوب,ثوب,56M,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053903,170,ثوب - ري ثوب - ابيض - ولادي - 40S - 2218,2218,الثياب > ري ثوب,ثوب,56L,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053904,195,ثوب - ري ثوب - ابيض - شباب - 41M - 2218,2218,الثياب > ري ثوب,ثوب,56XL,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053905,195,ثوب - ري ثوب - ابيض - شباب - 41S - 2218,2218,الثياب > ري ثوب,ثوب,56XXL,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053906,195,ثوب - ري ثوب - ابيض - شباب - 42M - 2218,2218,الثياب > ري ثوب,ثوب,57S,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053907,195,ثوب - ري ثوب - ابيض - شباب - 42S - 2218,2218,الثياب > ري ثوب,ثوب,57M,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053908,160,ثوب - ري ثوب - ابيض - شباب - 43M - 2218,2218,الثياب > ري ثوب,ثوب,57L,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053909,160,ثوب - ري ثوب - ابيض - شباب - 43S - 2218,2218,الثياب > ري ثوب,ثوب,57XL,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053910,195,ثوب - ري ثوب - ابيض - شباب - 44M - 2218,2218,الثياب > ري ثوب,ثوب,57XXL,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053911,195,ثوب - ري ثوب - ابيض - شباب - 44S - 2218,2218,الثياب > ري ثوب,ثوب,58S,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053912,195,ثوب - ري ثوب - ابيض - شباب - 45M - 2218,2218,الثياب > ري ثوب,ثوب,58M,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053913,195,ثوب - ري ثوب - ابيض - شباب - 45S - 2218,2218,الثياب > ري ثوب,ثوب,58L,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053914,160,ثوب - ري ثوب - ابيض - شباب - 46M - 2218,2218,الثياب > ري ثوب,ثوب,58XL,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053915,160,ثوب - ري ثوب - ابيض - شباب - 46S - 2218,2218,الثياب > ري ثوب,ثوب,58XXL,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053916,160,ثوب - ري ثوب - ابيض - شباب - 47M - 2218,2218,الثياب > ري ثوب,ثوب,59S,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053917,160,ثوب - ري ثوب - ابيض - شباب - 47S - 2218,2218,الثياب > ري ثوب,ثوب,59M,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053918,160,ثوب - ري ثوب - ابيض - شباب - 48L - 2218,2218,الثياب > ري ثوب,ثوب,59L,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053919,160,ثوب - ري ثوب - ابيض - شباب - 48M - 2218,2218,الثياب > ري ثوب,ثوب,59XL,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053920,160,ثوب - ري ثوب - ابيض - شباب - 48S - 2218,2218,الثياب > ري ثوب,ثوب,59XXL,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053921,160,ثوب - ري ثوب - ابيض - شباب - 48XL - 2218,2218,الثياب > ري ثوب,ثوب,60S,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053922,195,ثوب - ري ثوب - ابيض - شباب - 49S - 2218,2218,الثياب > ري ثوب,ثوب,60M,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053923,195,ثوب - ري ثوب - ابيض - شباب - 49XL - 2218,2218,الثياب > ري ثوب,ثوب,60L,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053924,195,ثوب - ري ثوب - ابيض - شباب - 50L - 2218,2218,الثياب > ري ثوب,ثوب,60XL,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053925,160,ثوب - ري ثوب - ابيض - شباب - 50M - 2218,2218,الثياب > ري ثوب,ثوب,60XXL,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053926,195,ثوب - ري ثوب - ابيض - شباب - 50S - 2218,2218,الثياب > ري ثوب,ثوب,60XXXL,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053927,160,ثوب - ري ثوب - ابيض - شباب - 50XL - 2218,2218,الثياب > ري ثوب,ثوب,61M,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053928,195,ثوب - ري ثوب - ابيض - شباب - 51S - 2218,2218,الثياب > ري ثوب,ثوب,61L,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
SAQ80538893218S,8053929,195,ثوب - ري ثوب - ابيض - شباب - 51XL - 2218,2218,الثياب > ري ثوب,ثوب,61XL,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
