ID,Parent SKU,SKU,Description,Regular price,Brand,Cat,Color,Prime style,Pocket shape,Collection name,Consignment,Placket Shape,Placket Type,Sleeves type,Collar type,Size,Generation
,,#p30211#,شماغ - الشياكة - رجالي - 44,25,,Headgear>Alshiaka>Shumagh,,,,,,,,,,,
,#p30211#,301810211,شماغ - الشياكة - رجالي - 58,30,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Chinese Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,44,Men
,#p30211#,302201221,شماغ - الشياكة - رجالي - 38,25,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,58,Men
,#p30211#,302202208,شماغ - الشياكة - شباب - 52,25,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,38,Men
,#p30211#,302202216,شماغ - الشياكة - رجالي - 62,30,Alshiaka,Headgear>Alshiaka>Shumagh,Cream,Chinese Shumagh Cream,NA,Seasonal,Non Consignment,NA,NA,NA,NA,52,Youth
,#p30211#,302210223,شماغ - الشياكة - رجالي - 58,30,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Chinese Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,62,Men
,#p30211#,302602221,شماغ - الشياكة - رجالي - 60,30,Alshiaka,Headgear>Alshiaka>Shumagh,Cream,Chinese Shumagh Cream,NA,Seasonal,Non Consignment,NA,NA,NA,NA,58,Men
,#p30211#,302602222,شماغ - الشياكة - رجالي - 60,30,Alshiaka,Headgear>Alshiaka>Shumagh,Cream,Chinese Shumagh Cream,NA,Seasonal,Non Consignment,NA,NA,NA,NA,60,Men
,#p30211#,303411222,شماغ - الشياكة - رجالي - 62,30,Alshiaka,Headgear>Alshiaka>Shumagh,Cream,Chinese Shumagh Cream,NA,Seasonal,Non Consignment,NA,NA,NA,NA,60,Men
,#p30211#,303411223,شماغ - الشياكة - شباب - 46,55,Alshiaka,Headgear>Alshiaka>Shumagh,Cream,Chinese Shumagh Cream,NA,Seasonal,Non Consignment,NA,NA,NA,NA,62,Men
