ID,Parent SKU,SKU,Description,Regular price,Cat,Color,Prime style,Pocket shape,Collection name,Consignment,Placket Shape,Placket Type,Sleeves type,Collar type,Size,Generation
,,1qaz1234*&^%!@,Thobe Classic ,,Thobe > Alshiaka > Classic,,,,,,,,,,,
,1qaz1234*&^%!@,11121102531,Thobe - Classic - Cream - Men - SST - 53S,110,Thobe > Alshiaka > Classic,Cream,SST,Triangle Pocket,Continues,Non Consignment,Triangle Placket,Unhidden Buttons,Plain Sleeves,China Collar,53S,Men
,1qaz1234*&^%!@,11121102532,Thobe - Classic - Cream - Men - SST - 53M,110,Thobe > Alshiaka > Classic,Cream,SST,Triangle Pocket,Continues,Non Consignment,Triangle Placket,Unhidden Buttons,Plain Sleeves,China Collar,53M,Men
,1qaz1234*&^%!@,11121102534,Thobe - Classic - Cream - Men - SST - 53XL,110,Thobe > Alshiaka > Classic,Cream,SST,Triangle Pocket,Continues,Non Consignment,Triangle Placket,Unhidden Buttons,Plain Sleeves,China Collar,53XL,Men
,1qaz1234*&^%!@,11121102541,Thobe - Classic - Cream - Men - SST - 54S,110,Thobe > Alshiaka > Classic,Cream,SST,Triangle Pocket,Continues,Non Consignment,Triangle Placket,Unhidden Buttons,Plain Sleeves,China Collar,54S,Men
,1qaz1234*&^%!@,11121102542,Thobe - Classic - Cream - Men - SST - 54M,110,Thobe > Alshiaka > Classic,Cream,SST,Triangle Pocket,Continues,Non Consignment,Triangle Placket,Unhidden Buttons,Plain Sleeves,China Collar,54M,Men
,1qaz1234*&^%!@,11121102543,Thobe - Classic - Cream - Men - SST - 54L,110,Thobe > Alshiaka > Classic,Cream,SST,Triangle Pocket,Continues,Non Consignment,Triangle Placket,Unhidden Buttons,Plain Sleeves,China Collar,54L,Men
,1qaz1234*&^%!@,11121102544,Thobe - Classic - Cream - Men - SST - 54XL,110,Thobe > Alshiaka > Classic,Cream,SST,Triangle Pocket,Continues,Non Consignment,Triangle Placket,Unhidden Buttons,Plain Sleeves,China Collar,54XL,Men
,1qaz1234*&^%!@,11121102545,Thobe - Classic - Cream - Men - SST - 54XXL,110,Thobe > Alshiaka > Classic,Cream,SST,Triangle Pocket,Continues,Non Consignment,Triangle Placket,Unhidden Buttons,Plain Sleeves,China Collar,54XXL,Men
,1qaz1234*&^%!@,11121102551,Thobe - Classic - Cream - Men - SST - 55S,110,Thobe > Alshiaka > Classic,Cream,SST,Triangle Pocket,Continues,Non Consignment,Triangle Placket,Unhidden Buttons,Plain Sleeves,China Collar,55S,Men
