ID,#1qazXSW@,SKU,Description,Regular price,Parent cat,Sub cat,Item type,Color,Prime style,Pocket shape,Collection name,Consignment,Placket shape,Placket Type,Sleeves type,Collar type,Size,Generation
,,#1qazXSW@,Rethobe white for youth and boys ,,Thobe,Rethobe,Thobe,,,,,,,,,,,
,#1qazXSW@,8053889,Thobe - Rethobe - White - Boys - 2218 - 32M,140,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,32M,Boys
,#1qazXSW@,8053890,Thobe - Rethobe - White - Boys - 2218 - 32S,170,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,32S,Boys
,#1qazXSW@,8053891,Thobe - Rethobe - White - Boys - 2218 - 34M,170,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,34M,Boys
,#1qazXSW@,8053892,Thobe - Rethobe - White - Boys - 2218 - 34S,140,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,34S,Boys
,#1qazXSW@,8053893,Thobe - Rethobe - White - Boys - 2218 - 35S,170,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,35S,Boys
,#1qazXSW@,8053894,Thobe - Rethobe - White - Boys - 2218 - 36M,140,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,36M,Boys
,#1qazXSW@,8053895,Thobe - Rethobe - White - Boys - 2218 - 36S,170,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,36S,Boys
,#1qazXSW@,8053896,Thobe - Rethobe - White - Boys - 2218 - 37M,140,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,37M,Boys
,#1qazXSW@,8053897,Thobe - Rethobe - White - Boys - 2218 - 37S,140,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,37S,Boys
,#1qazXSW@,8053898,Thobe - Rethobe - White - Boys - 2218 - 38M,170,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,38M,Boys
,#1qazXSW@,8053899,Thobe - Rethobe - White - Boys - 2218 - 38S,170,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,38S,Boys
,#1qazXSW@,8053900,Thobe - Rethobe - White - Boys - 2218 - 39M,170,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,39M,Boys
,#1qazXSW@,8053901,Thobe - Rethobe - White - Boys - 2218 - 39S,140,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,39S,Boys
,#1qazXSW@,8053902,Thobe - Rethobe - White - Boys - 2218 - 40M,170,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,40M,Boys
,#1qazXSW@,8053903,Thobe - Rethobe - White - Boys - 2218 - 40S,170,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,40S,Boys
,#1qazXSW@,8053904,Thobe - Rethobe - White - Youth - 2218 - 41M,195,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,41M,Youth
,#1qazXSW@,8053905,Thobe - Rethobe - White - Youth - 2218 - 41S,195,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,41S,Youth
