Parent,SKU,Selling Price,UOM,Arabic Description,التصميم الرئيسي,Department,نوع المنتج,الحجم,الفئة العمرية,اللون,الكم,نوع الاكمام,نوع الصدر,شكل الصدر,نوع السحاب,التشكيل,بضاعة مرسلة
,2020,,Piece,ثوب - ري ثوب - ابيض - رجالي - 53S - 2020,2020,Apparel,ثوب,53S,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015312020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 53S - 2020,2020,Apparel,ثوب,53S,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015322020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 53M - 2020,2020,Apparel,ثوب,53M,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015332020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 53L - 2020,2020,Apparel,ثوب,53L,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015342020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 53XL - 2020,2020,Apparel,ثوب,53XL,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015412020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 54S - 2020,2020,Apparel,ثوب,54S,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015422020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 54M - 2020,2020,Apparel,ثوب,54M,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015432020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 54L - 2020,2020,Apparel,ثوب,54L,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015442020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 54XL - 2020,2020,Apparel,ثوب,54XL,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015512020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 55S - 2020,2020,Apparel,ثوب,55S,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015522020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 55M - 2020,2020,Apparel,ثوب,55M,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015532020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 55L - 2020,2020,Apparel,ثوب,55L,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015542020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 55XL - 2020,2020,Apparel,ثوب,55XL,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015612020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 56S - 2020,2020,Apparel,ثوب,56S,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015622020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 56M - 2020,2020,Apparel,ثوب,56M,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015632020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 56L - 2020,2020,Apparel,ثوب,56L,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015642020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 56XL - 2020,2020,Apparel,ثوب,56XL,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015652020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 56XXL - 2020,2020,Apparel,ثوب,56XXL,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015712020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 57S - 2020,2020,Apparel,ثوب,57S,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015722020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 57M - 2020,2020,Apparel,ثوب,57M,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015732020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 57L - 2020,2020,Apparel,ثوب,57L,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015742020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 57XL - 2020,2020,Apparel,ثوب,57XL,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015752020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 57XXL - 2020,2020,Apparel,ثوب,57XXL,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015812020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 58S - 2020,2020,Apparel,ثوب,58S,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015822020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 58M - 2020,2020,Apparel,ثوب,58M,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015832020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 58L - 2020,2020,Apparel,ثوب,58L,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015842020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 58XL - 2020,2020,Apparel,ثوب,58XL,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015852020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 58XXL - 2020,2020,Apparel,ثوب,58XXL,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015912020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 59S - 2020,2020,Apparel,ثوب,59S,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015922020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 59M - 2020,2020,Apparel,ثوب,59M,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015932020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 59L - 2020,2020,Apparel,ثوب,59L,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
2020,11100015942020,219,Piece,ثوب - ري ثوب - ابيض - رجالي - 59XL - 2020,2020,Apparel,ثوب,59XL,رجالي,أبيض, آحرون,اخرى,اخرى,اخرى,اخرى,رمضان,غير مرسلة
