ID,Parent SKU,SKU,Short description,Sale price,Regular price,Categories,Color,Primary Style,Pocket Shape,Collocation Name,Consignment,Placket Shape,Placket Type,Sleeves Type,Collar Type,Size,Generation
,,SAQ80538893218S,ري ثواب ابيض للشباب و الاطفال,,,Thobe > Rethobe,,,,,,,,,,,
,SAQ80538893218S,8053889,ثوب - ري ثوب - ابيض - ولادي - 32M - 2218,140,140,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,32M,Boys
,SAQ80538893218S,8053890,ثوب - ري ثوب - ابيض - ولادي - 32S - 2218,170,170,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,32S,Boys
,SAQ80538893218S,8053891,ثوب - ري ثوب - ابيض - ولادي - 34M - 2218,170,170,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,34M,Boys
,SAQ80538893218S,8053892,ثوب - ري ثوب - ابيض - ولادي - 34S - 2218,140,140,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,34S,Boys
,SAQ80538893218S,8053893,ثوب - ري ثوب - ابيض - ولادي - 35S - 2218,170,170,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,35S,Boys
,SAQ80538893218S,8053894,ثوب - ري ثوب - ابيض - ولادي - 36M - 2218,140,140,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,36M,Boys
,SAQ80538893218S,8053895,ثوب - ري ثوب - ابيض - ولادي - 36S - 2218,170,170,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,36S,Boys
,SAQ80538893218S,8053896,ثوب - ري ثوب - ابيض - ولادي - 37M - 2218,140,140,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,37M,Boys
,SAQ80538893218S,8053897,ثوب - ري ثوب - ابيض - ولادي - 37S - 2218,140,140,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,37S,Boys
,SAQ80538893218S,8053898,ثوب - ري ثوب - ابيض - ولادي - 38M - 2218,170,170,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,38M,Boys
,SAQ80538893218S,8053899,ثوب - ري ثوب - ابيض - ولادي - 38S - 2218,170,170,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,38S,Boys
,SAQ80538893218S,8053900,ثوب - ري ثوب - ابيض - ولادي - 39M - 2218,170,170,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,39M,Boys
,SAQ80538893218S,8053901,ثوب - ري ثوب - ابيض - ولادي - 39S - 2218,140,140,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,39S,Boys
,SAQ80538893218S,8053902,ثوب - ري ثوب - ابيض - ولادي - 40M - 2218,170,170,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,40M,Boys
,SAQ80538893218S,8053903,ثوب - ري ثوب - ابيض - ولادي - 40S - 2218,170,170,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,40S,Boys
,SAQ80538893218S,8053904,ثوب - ري ثوب - ابيض - شباب - 41M - 2218,195,195,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,41M,Youth
,SAQ80538893218S,8053905,ثوب - ري ثوب - ابيض - شباب - 41S - 2218,195,195,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,41S,Youth
,SAQ80538893218S,8053906,ثوب - ري ثوب - ابيض - شباب - 42M - 2218,195,195,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,42M,Youth
,SAQ80538893218S,8053907,ثوب - ري ثوب - ابيض - شباب - 42S - 2218,195,195,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,42S,Youth
,SAQ80538893218S,8053908,ثوب - ري ثوب - ابيض - شباب - 43M - 2218,160,160,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,43M,Youth
,SAQ80538893218S,8053909,ثوب - ري ثوب - ابيض - شباب - 43S - 2218,160,160,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,43S,Youth
,SAQ80538893218S,8053910,ثوب - ري ثوب - ابيض - شباب - 44M - 2218,195,195,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,44M,Youth
,SAQ80538893218S,8053911,ثوب - ري ثوب - ابيض - شباب - 44S - 2218,195,195,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,44S,Youth
,SAQ80538893218S,8053912,ثوب - ري ثوب - ابيض - شباب - 45M - 2218,195,195,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,45M,Youth
,SAQ80538893218S,8053913,ثوب - ري ثوب - ابيض - شباب - 45S - 2218,195,195,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,45S,Youth
,SAQ80538893218S,8053914,ثوب - ري ثوب - ابيض - شباب - 46M - 2218,160,160,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,46M,Youth
,SAQ80538893218S,8053915,ثوب - ري ثوب - ابيض - شباب - 46S - 2218,160,160,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,46S,Youth
